time(ms),enconder(steps),inputSignal(8bits),controlSignal
79400,795,733,146
79500,778,730,142
79600,768,719,143
79700,767,715,143
79800,756,709,142
79900,741,702,140
80000,731,692,140
80100,714,676,140
80200,702,667,139
80300,685,659,137
80400,673,639,139
80500,657,627,138
80600,644,626,135
80700,631,618,0
80800,630,588,141
80900,630,589,141
81000,630,560,148
81100,630,506,161
81200,630,468,171
81300,630,433,180
81400,630,421,183
81500,630,378,193
81600,629,345,201
81700,629,229,230
81800,623,50,255
81900,569,40,255
82000,501,23,250
82100,437,26,233
82200,377,7,223
82300,321,6,209
82400,271,7,196
82500,224,7,185
82600,181,8,174
82700,143,8,164
82800,111,7,156
82900,84,7,150
83000,61,6,144
83100,40,8,138
83200,30,6,136
83300,14,7,0
83400,14,7,0
83500,14,7,0
83600,14,7,0
83700,14,7,0
83800,14,7,0
83900,14,8,0
84000,14,7,0
84100,14,7,0
84200,14,7,0
84300,14,7,0
84400,14,8,0
84500,14,7,0
84600,14,8,0
84700,14,8,0
84800,14,8,0
84900,14,7,0
85000,14,7,0
85100,14,7,0
85200,14,7,0
85300,14,7,0
85400,14,7,0
85500,14,7,0
85600,14,7,0
85700,14,28,0
85800,14,484,247
85900,51,626,255
86000,111,698,255
86100,175,748,255
86200,241,791,255
86300,309,828,255
86400,377,855,249
86500,441,875,238
86600,501,890,227
86700,557,898,215
86800,610,908,204
86900,658,915,194
87000,702,915,183
87100,742,915,173
87200,778,917,164
87300,809,915,156
87400,836,915,149
87500,857,917,145
87600,877,916,139
87700,894,915,135
87800,906,918,0
87900,906,923,0
88000,906,929,135
88100,915,935,135
88200,927,938,0
88300,929,940,0
88400,929,945,0
88500,929,947,0
88600,929,949,135
88700,929,953,136
88800,929,953,136
88900,929,956,136
89000,930,959,137
89100,930,959,137
89200,930,960,137
89300,930,962,138
89400,930,961,137
89500,930,961,137
89600,930,959,137
89700,930,959,137
89800,930,956,136
89900,930,953,135
90000,930,950,135
90100,930,947,0
90200,930,944,0
90300,930,941,0
90400,930,936,0
90500,930,932,0
90600,930,928,0
90700,930,926,0
90800,930,921,0
90900,930,916,0
91000,930,912,135
91100,929,905,136
91200,929,899,138
91300,929,894,139
91400,929,889,140
91500,929,885,141
91600,929,877,143
91700,929,870,145
91800,929,866,146
91900,929,860,148
92000,929,850,150
92100,929,844,152
92200,929,831,155
92300,929,807,161
92400,929,789,165
92500,929,749,175
92600,916,669,192
92700,884,638,192
92800,847,628,185
92900,808,629,175
93000,772,629,166
93100,740,628,158
93200,711,627,151
93300,688,628,145
93400,670,627,141
93500,651,628,136
93600,641,627,0
93700,640,626,0
93800,640,627,0
93900,640,626,0
94000,640,629,0
94100,640,555,152
94200,627,364,196
94300,593,8,255
94400,534,7,255
94500,465,8,245
94600,401,7,229
94700,344,7,215
94800,290,7,201
94900,242,7,189
95000,197,8,178
95100,158,8,168
95200,124,6,160
95300,95,7,152
95400,70,7,146
95500,50,7,141
95600,34,7,137
95700,18,7,0
95800,16,8,0
95900,16,7,0
96000,16,7,0
96100,16,7,0
96200,16,7,0
96300,16,27,0
96400,16,277,195
96500,17,475,244
96600,37,591,255
96700,94,639,255
96800,159,684,255
96900,223,716,253
97000,289,723,238
97100,349,723,223
97200,403,722,209
97300,454,722,197
97400,501,722,185
97500,542,721,174
97600,580,721,165
97700,614,723,157
97800,644,722,149
97900,669,722,143
98000,689,732,140
98100,707,753,141
98200,722,778,144
98300,741,799,144
98400,760,820,145
98500,780,835,143
98600,801,842,140
98700,818,844,136
98800,836,842,0
98900,837,843,0
99000,837,826,0
99100,837,794,141
99200,837,748,153
99300,837,675,171
99400,836,584,193
99500,830,439,228
99600,785,101,255
99700,721,22,255
99800,652,6,255
99900,580,7,255
100000,509,7,255
